,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age,completed
61654,4,4,6,5,5,1,1,1,5,6,1,1,4,5,6,5,5,5,1,1,4,1,5,3,2,2,NA,17,1
61656,5,4,2,1,2,4,6,5,5,4,3,3,5,5,4,1,3,3,2,1,6,1,3,2,4,1,NA,17,1
61659,1,6,6,1,5,5,4,4,2,3,1,2,4,3,4,2,5,5,4,6,5,1,6,6,2,2,NA,17,1
61661,1,5,6,5,6,4,3,2,4,5,2,1,2,5,2,2,2,2,2,2,6,1,5,5,2,1,5,68,1
61664,2,6,5,6,5,3,5,6,3,6,2,2,4,6,6,4,4,4,6,6,6,1,5,6,1,2,2,27,1
61667,4,5,5,6,5,5,5,4,1,1,3,2,5,5,6,2,3,3,1,1,6,2,5,6,2,1,1,18,1
61668,1,6,6,1,6,5,2,5,1,1,1,1,6,6,6,2,3,1,2,1,6,4,5,5,3,2,3,20,1
61669,2,4,4,4,3,6,5,6,1,1,2,4,4,2,6,3,3,5,3,2,5,2,6,6,1,2,5,51,1
61670,2,5,6,6,6,4,5,4,3,4,1,2,6,6,6,4,4,5,2,3,6,1,6,4,3,2,NA,14,1
61672,2,5,1,3,5,5,4,5,2,5,1,2,6,5,4,1,4,2,2,5,2,4,5,4,1,2,3,33,1
61673,4,5,6,5,5,5,5,3,5,4,1,2,6,5,5,5,4,4,3,1,4,4,6,5,1,2,3,18,1
61678,1,6,5,6,3,5,5,5,4,3,2,5,1,5,3,5,5,5,6,6,4,3,3,6,5,2,NA,17,1
61679,2,5,6,6,6,5,5,5,2,4,1,2,4,5,5,3,2,4,1,2,5,2,5,5,2,2,3,41,1
61682,1,5,6,5,4,1,5,6,4,6,6,6,2,1,1,1,2,1,3,6,6,6,5,6,1,1,5,23,1
61683,2,4,5,6,5,4,6,4,2,4,2,2,3,5,3,2,2,4,1,3,5,5,5,4,2,2,NA,17,1
61684,4,4,4,4,4,4,3,3,3,4,2,3,4,2,3,NA,2,1,2,2,4,3,5,5,3,1,3,20,1
61685,5,3,5,4,2,2,2,4,3,4,3,4,3,2,3,5,3,4,4,3,4,5,4,4,3,1,3,23,1
61686,1,6,4,6,4,5,6,3,1,5,6,6,3,2,2,2,2,2,4,1,5,5,4,5,3,1,3,20,1
61687,1,4,4,2,3,6,5,6,3,4,3,4,3,3,5,5,6,5,5,4,5,5,4,5,2,1,3,21,1
61688,1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1,1,NA,30,1
61691,1,5,4,3,5,6,5,5,2,2,3,2,3,6,5,1,2,1,2,1,5,1,6,6,1,2,5,48,1
61692,1,5,5,6,5,4,4,4,3,4,4,3,4,4,4,2,2,3,3,3,4,3,2,5,2,2,3,40,1
61693,5,4,3,6,4,5,2,5,2,4,6,4,2,4,4,1,2,1,2,NA,3,3,2,2,5,2,4,27,1
61696,1,5,4,4,5,4,5,4,3,3,3,3,2,5,4,2,3,1,3,2,4,3,5,4,3,1,1,18,1
61698,5,6,4,3,5,5,3,3,4,5,6,4,4,4,3,2,2,3,4,5,3,5,4,4,4,1,4,20,1
61700,2,6,6,6,6,5,4,5,3,4,2,2,4,5,5,2,2,2,2,3,5,2,5,5,1,2,5,24,1
61701,1,6,6,6,6,5,2,1,2,1,6,5,6,6,5,2,1,4,6,5,6,5,6,6,1,1,3,25,1
61702,5,5,3,4,3,4,4,3,4,5,4,4,5,2,4,4,5,3,5,2,3,5,4,4,2,1,2,22,1
61703,2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,3,4,2,2,4,5,4,5,3,2,2,1,18,1
61713,1,5,3,2,3,3,6,3,1,3,5,5,5,5,3,5,5,5,5,3,3,3,2,5,1,2,1,43,1
61715,1,6,6,6,6,5,5,4,1,2,1,1,6,6,6,4,4,1,1,1,6,3,6,6,1,1,3,20,1
61716,1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,6,6,6,3,3,3,1,4,6,2,2,3,24,1
61723,1,5,6,5,4,6,6,6,6,2,4,4,4,3,6,1,1,1,6,5,5,6,3,6,3,2,4,26,1
61724,3,6,4,4,4,5,5,3,2,5,1,1,4,6,5,2,2,1,1,1,5,1,5,5,6,1,4,26,1
61725,4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,6,5,5,5,6,2,5,2,6,4,2,3,25,1
61728,1,6,6,6,6,6,5,5,2,2,1,2,5,6,5,2,3,2,3,2,5,3,5,5,2,1,4,25,1
61730,1,4,3,5,5,5,5,4,4,5,2,5,4,5,5,2,4,4,5,3,5,1,6,6,1,1,5,26,1
61731,1,4,2,2,2,5,5,5,5,1,4,5,4,3,4,3,4,5,5,5,4,4,6,6,3,2,3,21,1
61732,3,4,5,2,4,5,4,5,2,4,5,5,5,4,5,5,5,5,3,2,5,2,5,5,5,1,5,24,1
61740,1,6,5,4,4,6,6,6,1,4,4,4,1,2,5,3,4,4,4,4,4,4,4,2,1,2,2,50,1
61742,3,3,5,4,5,6,4,4,2,2,2,1,4,6,4,1,2,1,4,1,4,3,5,5,2,1,5,29,1
61748,2,3,4,4,5,5,3,2,4,6,4,4,3,5,2,4,4,6,5,2,2,4,3,5,5,1,1,32,1
61749,2,4,4,5,3,5,5,4,3,4,6,5,4,3,4,4,5,4,5,5,6,6,4,6,2,1,1,18,1
61754,1,4,6,6,6,NA,6,6,2,3,1,1,5,6,6,4,4,3,1,3,5,3,3,6,3,2,4,32,1
61756,4,5,3,5,4,6,5,5,2,2,1,1,5,6,6,3,5,3,1,3,4,1,4,6,1,2,3,26,1
61757,2,6,6,6,6,4,6,6,1,4,3,6,5,4,4,4,3,6,6,4,4,1,6,6,3,2,5,27,1
61759,2,NA,4,6,4,5,4,5,2,1,5,5,3,3,3,1,1,1,NA,1,2,1,4,6,1,2,3,19,1
61761,1,5,4,2,5,1,2,2,2,6,2,5,2,2,1,2,5,5,4,2,5,4,4,6,1,1,4,21,1
61762,4,3,2,2,2,4,2,2,4,5,4,3,4,2,4,1,2,1,5,2,6,1,6,6,1,1,3,21,1
61763,2,3,4,5,6,5,5,4,2,2,1,2,4,4,4,1,2,2,4,2,3,2,5,5,2,2,5,36,1
61764,1,6,6,3,6,6,5,6,1,4,4,4,2,3,3,1,2,2,5,2,6,2,3,5,2,2,2,48,1
61771,4,5,6,6,4,4,6,6,1,2,4,3,5,5,5,2,3,3,1,3,4,1,4,6,2,2,3,22,1
61772,2,4,6,2,5,2,4,4,1,1,1,1,4,4,NA,1,3,2,2,1,6,2,4,5,3,2,2,23,1
61773,4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,5,5,4,3,5,4,1,4,2,3,1,3,21,1
61775,1,5,5,5,4,5,5,5,1,2,4,4,3,2,5,1,2,4,4,4,5,1,5,4,2,2,3,20,1
61776,3,5,5,5,4,5,5,5,1,1,2,3,5,5,4,2,1,2,2,3,5,1,5,4,2,2,3,23,1
61777,2,5,5,6,5,5,4,6,3,2,1,1,4,6,5,2,2,3,3,2,5,1,4,3,4,2,4,43,1
61778,2,6,6,6,6,5,4,5,1,2,1,1,6,6,5,2,4,2,1,1,6,3,5,4,1,2,NA,16,1
61780,5,6,6,6,5,5,5,6,3,4,1,2,5,6,6,4,3,4,4,6,5,4,5,6,3,2,NA,14,1
61782,1,2,2,4,2,2,4,2,5,1,2,2,4,2,2,4,2,2,2,4,2,3,4,2,4,2,3,54,1
61783,2,5,5,5,5,4,2,3,5,4,4,4,4,5,4,2,3,4,5,2,4,4,3,5,1,1,2,20,1
61784,1,5,6,5,3,6,5,4,4,33,4,5,4,4,5,3,3,3,4,3,6,2,5,6,2,1,4,28,1
61788,1,6,3,3,1,6,6,5,1,6,4,5,3,5,1,4,4,6,6,5,6,1,6,6,1,2,4,38,1
61789,1,4,6,2,6,3,3,4,4,5,6,4,5,6,2,3,5,4,6,4,6,2,5,6,1,1,NA,38,1
61793,1,6,6,5,6,5,6,5,1,1,3,2,5,5,5,3,3,2,2,2,4,5,4,5,2,1,3,27,1
61794,1,6,5,2,6,4,5,5,2,3,3,4,4,5,3,2,4,5,6,6,6,5,4,6,1,2,1,18,1
61797,4,4,4,6,5,2,5,4,4,3,5,3,3,3,5,2,2,4,2,4,3,4,3,4,4,1,3,29,1
61798,1,5,5,5,5,4,4,5,2,2,5,2,2,5,5,3,3,2,2,2,4,5,5,4,4,2,4,50,1
61801,1,6,5,4,6,4,5,4,4,5,2,2,4,5,5,1,3,2,2,2,5,1,4,5,2,2,3,50,1
61808,1,6,4,6,4,4,4,5,2,4,1,2,4,5,5,2,3,2,2,2,4,2,3,4,2,2,3,20,1
61812,3,4,5,5,4,3,3,NA,3,3,4,4,4,3,4,3,3,4,4,3,4,2,4,4,3,2,3,19,1
61813,1,5,5,5,5,5,2,4,1,2,4,1,5,5,5,1,1,1,4,1,6,1,5,5,2,2,4,56,1
61816,1,5,6,2,5,5,4,5,3,4,3,5,4,4,4,3,3,4,3,4,6,1,5,6,2,2,4,29,1
61818,2,4,5,4,5,2,2,3,4,4,1,5,2,6,2,2,3,6,4,6,3,2,2,2,5,2,5,29,1
61819,1,6,6,3,6,6,6,5,1,1,1,3,5,6,6,2,5,4,6,1,6,2,5,6,1,2,5,48,1
61821,2,6,4,6,4,4,5,6,3,1,2,4,2,5,4,4,5,2,3,6,3,4,3,5,6,2,1,30,1
61822,2,3,3,4,3,5,6,4,1,4,5,6,2,2,4,3,4,6,6,6,5,2,3,5,4,2,2,21,1
61825,3,1,2,2,2,2,1,2,6,6,6,6,1,1,1,3,5,4,4,4,5,1,3,6,1,1,3,19,1
61826,1,4,5,5,6,6,4,4,1,1,5,1,2,3,5,1,2,1,1,1,5,1,5,6,1,1,5,42,1
61829,4,3,2,6,5,4,5,6,2,6,5,5,1,5,5,4,5,6,6,6,5,1,2,6,4,2,3,18,1
61831,2,6,2,3,4,4,2,5,3,5,5,3,2,3,5,1,1,1,2,2,2,1,5,3,3,2,4,50,1
61834,2,5,5,3,5,4,3,4,3,5,3,5,4,5,5,NA,5,6,4,4,6,2,5,6,1,2,3,24,1
61835,3,4,4,2,4,4,3,4,4,2,2,3,4,3,5,4,4,2,2,4,4,2,5,4,2,1,5,25,1
61838,2,5,5,5,2,6,6,4,1,5,3,2,2,2,5,4,5,5,5,4,6,2,5,6,1,1,5,47,1
61839,1,4,5,2,6,2,1,2,4,6,6,5,3,3,3,2,1,3,3,1,4,3,4,5,6,2,1,18,1
61840,1,6,4,1,1,6,4,5,2,1,6,6,3,1,1,4,3,6,6,5,2,3,3,6,3,2,4,37,1
61841,1,6,5,6,6,5,3,4,6,5,2,4,3,4,5,4,5,4,3,4,5,4,4,6,2,2,4,33,1
61847,1,5,5,5,2,6,NA,6,1,1,3,2,1,2,6,5,NA,5,4,3,4,1,6,6,1,2,5,40,1
61848,6,1,1,1,2,3,6,3,3,4,1,4,5,2,6,6,6,3,2,5,6,1,6,5,2,1,NA,18,1
61851,2,6,5,6,5,5,4,4,4,6,1,3,4,6,4,5,6,2,4,6,6,5,6,6,2,2,3,21,1
61852,3,6,5,6,4,3,5,2,3,4,2,5,6,6,5,6,6,6,4,6,5,4,4,6,4,2,3,27,1
61854,1,6,6,6,6,4,4,5,3,4,3,2,4,5,4,2,3,2,3,4,4,1,5,6,1,2,3,19,1
61856,NA,4,5,6,4,5,5,5,1,5,3,4,3,2,3,1,2,1,4,2,3,6,1,3,3,2,4,36,1
61857,1,6,6,5,4,5,3,5,1,2,2,4,4,5,4,1,1,1,2,2,4,2,4,6,2,2,3,19,1
61861,1,6,6,6,6,6,6,5,1,6,5,5,2,5,5,1,5,5,5,6,6,1,6,6,2,2,5,29,1
61862,1,6,5,4,5,5,4,5,2,2,1,1,6,6,5,2,2,2,2,2,6,1,5,4,1,2,5,23,1
61865,4,2,1,2,2,4,1,2,6,6,5,5,2,2,1,2,4,2,4,2,2,6,3,5,5,1,5,23,1
61868,1,5,4,3,4,5,6,4,1,4,3,2,4,5,6,1,2,2,4,1,4,1,6,5,1,1,3,20,1
61873,5,2,2,2,1,2,2,2,3,5,5,6,2,1,2,4,4,2,2,2,5,1,5,5,2,1,4,24,1
61874,2,5,4,3,4,5,4,5,2,3,1,2,4,5,5,4,4,3,2,3,6,1,5,5,2,1,5,24,1
61880,1,5,6,6,6,6,5,4,2,6,1,2,5,6,6,1,2,2,2,4,6,1,6,6,1,1,5,26,1
61886,4,6,5,5,6,4,6,5,5,2,1,3,6,6,6,4,3,1,3,4,6,3,6,5,3,2,3,25,1
61888,2,5,4,4,4,4,5,5,5,5,5,6,3,2,2,3,4,2,5,6,2,4,4,6,4,1,4,24,1
61889,6,5,5,2,5,5,5,6,1,1,1,2,5,5,6,5,4,4,3,1,6,2,6,5,1,1,5,24,1
61890,2,5,5,1,6,5,5,5,3,6,2,4,6,6,5,4,4,3,3,1,5,3,6,4,2,1,5,28,1
61891,2,4,5,5,5,5,5,4,6,6,5,5,5,5,3,1,2,2,4,2,5,2,5,6,1,1,4,22,1
61895,2,5,5,5,2,5,5,5,2,6,5,5,3,2,2,2,3,2,5,5,5,1,6,6,1,1,5,26,1
61896,2,5,6,5,6,5,4,5,3,2,2,2,4,5,5,4,4,2,2,2,4,3,5,4,2,1,5,25,1
61900,2,5,4,4,5,5,4,5,3,5,2,3,5,4,5,2,3,3,4,2,5,2,6,6,2,1,4,23,1
61901,2,5,5,3,2,2,3,4,5,6,2,5,2,2,2,2,4,4,4,2,5,2,4,6,2,1,3,22,1
61907,4,5,4,NA,3,5,3,4,2,5,1,4,3,5,4,4,5,5,4,5,4,4,3,6,3,2,3,19,1
61908,2,4,4,4,4,4,4,4,4,5,4,3,4,6,5,4,5,3,5,4,4,2,4,6,3,2,4,25,1
61909,3,5,4,5,4,4,4,5,3,5,2,4,5,5,4,5,5,5,5,5,6,3,4,5,2,1,3,25,1
61911,4,3,3,3,3,6,5,5,2,3,5,NA,3,2,3,3,3,3,4,4,5,1,5,6,6,1,5,27,1
61913,2,4,3,3,3,4,4,4,3,6,2,5,3,2,5,4,6,4,4,5,3,5,3,5,3,2,3,20,1
61915,1,6,6,6,6,6,6,3,6,5,6,5,5,6,6,6,6,4,5,6,5,6,6,6,2,2,3,25,1
61918,1,6,6,5,6,6,1,3,4,5,3,4,4,6,3,5,5,2,5,2,4,4,6,6,1,2,3,49,1
61921,1,6,6,4,6,1,1,3,1,1,1,1,6,6,6,4,4,1,NA,2,4,1,6,2,2,2,3,26,1
61922,1,6,5,6,5,6,6,4,1,1,1,2,5,4,5,4,6,2,1,2,6,1,6,5,3,2,3,25,1
61923,1,6,5,6,5,5,5,4,1,4,2,3,6,6,5,4,4,5,4,5,5,2,5,6,4,2,3,25,1
61925,3,6,6,4,6,2,3,2,5,5,1,1,6,6,6,4,4,4,3,3,6,3,4,5,2,1,NA,18,1
61926,2,3,1,3,1,3,3,3,2,6,6,6,1,1,3,5,4,3,6,4,2,2,1,5,3,1,3,21,1
61928,2,4,5,5,5,4,4,6,4,2,1,2,4,6,5,6,6,4,4,6,4,4,3,4,5,2,3,22,1
61932,2,5,3,5,1,6,5,4,2,2,1,1,5,6,2,3,5,4,4,5,4,2,5,4,3,2,3,37,1
61935,1,6,5,6,6,3,2,4,2,3,3,2,5,5,3,2,2,2,2,1,4,4,4,5,3,2,3,20,1
61936,5,4,4,5,6,3,5,3,3,6,4,4,6,5,5,2,5,2,1,2,6,2,5,5,2,2,1,22,1
61939,2,5,4,3,3,6,4,4,2,4,6,4,3,3,4,1,1,1,4,3,6,1,4,6,1,2,5,41,1
61944,1,6,6,3,6,6,6,6,1,5,1,4,5,5,6,3,6,4,4,6,5,1,4,6,1,2,5,22,1
61945,2,6,4,5,4,4,4,5,3,5,3,3,4,4,4,3,3,3,4,3,4,4,5,5,2,1,5,24,1
61949,2,6,3,5,2,4,4,6,4,5,2,1,5,4,6,1,1,1,1,1,6,2,5,2,1,2,4,23,1
61952,1,5,5,6,5,5,5,5,2,2,2,2,1,5,3,5,2,4,4,2,5,2,5,5,1,1,4,32,1
61953,1,5,5,3,3,5,2,2,5,6,2,3,2,3,4,5,5,5,3,2,5,2,5,6,2,1,5,43,1
61954,1,6,6,5,6,6,5,3,1,1,1,2,5,5,5,1,1,1,2,4,6,1,6,6,1,2,4,30,1
61957,2,5,5,6,5,4,4,2,5,4,4,3,5,5,4,3,4,2,1,1,6,5,4,6,2,2,2,50,1
61958,4,4,3,1,4,5,4,4,1,1,1,1,4,6,6,3,4,2,2,1,4,1,6,4,2,1,1,18,1
61965,2,6,5,5,3,5,5,6,2,1,2,5,3,4,5,1,3,2,1,3,6,2,4,6,5,2,3,16,1
61967,3,5,6,5,5,4,5,4,2,4,2,2,5,5,5,3,3,5,4,3,5,2,6,5,3,2,5,34,1
61968,1,6,6,6,5,5,3,4,4,4,1,2,5,6,5,2,2,2,2,3,5,4,5,5,2,2,2,18,1
61969,2,5,5,5,4,3,1,4,4,5,5,5,5,3,5,2,4,5,4,5,5,4,5,5,1,2,5,24,1
61971,2,4,4,1,3,3,5,4,4,5,4,4,4,5,2,1,2,1,4,4,5,1,6,6,1,1,2,18,1
61972,2,4,5,5,4,5,6,5,2,1,3,4,4,2,6,6,6,2,3,4,5,5,4,5,5,2,3,22,1
61973,1,5,5,6,999,5,4,5,1,1,4,2,4,4,4,3,4,2,NA,1,5,1,4,4,4,2,2,36,1
61974,1,6,6,2,5,5,3,2,3,4,2,2,3,5,5,2,4,2,3,5,4,2,4,6,2,2,3,19,1
61975,2,6,4,5,4,2,3,2,4,5,2,3,4,5,4,4,3,2,4,2,5,5,4,4,2,1,3,20,1
61976,1,5,2,3,4,2,5,6,5,2,5,2,1,3,4,1,2,4,1,1,5,6,2,2,6,1,3,24,1
61978,1,6,6,6,6,5,5,5,2,2,2,2,5,6,4,2,2,4,3,4,5,6,5,6,4,2,3,20,1
61979,2,4,5,5,5,1,1,3,4,5,1,2,5,5,2,1,2,1,2,1,6,1,5,5,6,1,5,34,1
61983,2,4,5,6,5,4,6,4,1,2,1,1,6,6,5,1,1,2,2,1,5,1,5,5,2,1,3,21,1
61986,2,6,5,4,4,4,2,4,5,5,2,NA,4,3,5,4,4,2,4,1,6,4,5,5,2,1,3,19,1
61987,1,5,5,5,5,5,6,4,2,2,4,1,5,4,6,4,5,5,4,2,5,1,5,6,1,2,2,18,1
61989,1,6,6,1,3,6,6,5,1,4,5,6,1,4,1,6,6,6,5,6,5,1,2,5,1,2,NA,25,1
61990,3,4,4,3,4,3,3,5,3,6,2,5,5,3,4,5,4,2,2,4,5,4,4,4,5,2,5,27,1
61992,4,4,5,6,4,5,6,6,4,2,2,2,5,5,5,4,2,4,5,4,4,2,5,3,3,1,5,33,1
61993,1,5,5,5,5,4,4,4,4,5,2,2,5,5,5,3,3,3,3,4,6,2,5,4,5,1,3,20,1
61994,2,6,5,5,4,5,4,5,3,4,4,6,5,6,6,3,3,2,2,2,5,6,6,5,1,2,3,19,1
61999,2,6,6,6,5,5,5,5,2,1,2,1,5,5,6,1,2,2,2,3,5,1,6,6,3,2,NA,16,1
62001,1,2,2,4,3,6,4,6,5,6,4,5,1,6,3,4,6,6,4,5,3,4,3,6,4,2,3,18,1
62003,1,6,5,6,6,4,5,3,3,4,6,3,4,5,5,1,2,2,2,3,6,1,5,6,1,2,4,35,1
62004,6,5,6,6,5,6,6,6,1,3,6,6,4,4,5,4,5,4,4,4,6,1,3,6,3,2,3,23,1
62005,4,3,4,3,4,4,3,5,4,4,2,4,4,3,4,5,5,3,2,3,5,4,4,4,4,2,5,27,1
62007,3,4,2,2,3,3,2,2,4,1,2,2,5,4,5,2,3,1,1,1,6,3,6,5,1,1,3,18,1
62009,4,3,4,3,3,5,2,4,4,5,3,5,4,1,4,5,5,5,4,4,6,1,6,6,1,1,2,31,1
62011,1,6,5,6,6,5,4,5,2,4,3,4,5,6,4,2,3,2,1,1,5,5,3,5,3,2,NA,17,1
62013,3,5,4,4,4,3,3,4,4,4,5,4,3,2,4,2,3,2,3,2,5,4,4,3,4,1,1,53,1
62014,4,2,2,3,3,4,3,3,4,5,4,5,2,2,5,5,4,4,5,4,5,2,5,6,2,1,5,29,1
62015,3,4,4,3,3,5,5,4,3,2,3,4,4,2,3,4,4,5,4,4,6,1,6,6,1,1,2,19,1
62022,1,6,5,6,3,3,5,1,1,6,1,3,3,3,6,6,6,6,2,6,3,6,1,1,6,2,1,29,1
62023,1,5,5,4,5,4,4,4,4,4,4,1,5,5,4,1,2,1,1,2,6,4,6,6,1,1,5,41,1
62024,2,2,1,6,3,6,6,6,1,1,2,2,5,6,6,1,3,1,1,1,6,1,6,6,2,2,5,31,1
62025,2,4,4,5,5,5,5,5,1,2,6,5,2,5,5,5,5,5,6,3,2,2,3,5,2,2,3,45,1
62026,1,6,6,2,7,5,5,5,1,2,2,2,6,6,6,6,6,4,2,4,6,1,5,5,1,2,2,47,1
62029,2,3,4,4,4,3,1,1,3,2,3,3,3,3,4,2,3,2,3,2,6,2,4,5,2,1,4,27,1
62031,1,6,4,3,6,4,4,5,2,5,2,5,4,5,6,4,5,5,2,6,5,2,6,6,1,2,2,24,1
62032,2,3,4,5,3,4,5,4,2,5,5,3,3,4,4,2,2,4,4,3,4,3,4,5,3,1,4,20,1
62033,5,4,3,5,4,4,4,4,4,5,1,5,5,6,4,1,1,1,4,5,5,4,4,4,5,1,2,23,1
62034,1,5,4,4,4,5,5,5,2,4,3,4,2,4,4,4,4,4,3,4,4,2,3,5,2,1,5,28,1
62038,1,6,6,5,3,1,3,2,2,5,6,6,5,1,2,6,4,6,6,3,3,1,3,3,4,2,NA,16,1
62039,2,5,6,3,5,5,3,3,3,4,1,2,6,5,6,5,4,1,2,2,4,4,5,4,2,1,1,18,1
62041,2,4,5,6,5,2,4,4,3,2,4,4,3,5,2,2,4,3,2,3,3,1,3,5,3,2,NA,16,1
62042,2,6,5,5,5,2,4,3,4,6,1,3,5,6,6,1,1,2,1,1,6,3,4,5,3,1,NA,17,1
62043,1,5,6,4,5,3,2,5,2,1,1,1,2,5,4,1,2,2,2,4,5,1,5,5,1,2,1,18,1
62044,2,5,5,5,5,5,6,5,1,2,2,3,3,5,4,1,3,1,2,5,4,3,4,5,5,1,NA,16,1
62047,1,5,2,2,2,2,2,6,2,3,5,6,4,1,5,3,5,5,5,4,2,5,4,6,1,2,NA,16,1
62048,3,3,5,5,5,4,4,4,3,4,3,2,3,5,4,99,5,3,3,4,4,4,3,2,3,2,1,18,1
62051,2,4,5,6,5,5,6,4,1,2,2,1,4,6,5,1,2,1,1,1,5,3,4,3,2,1,NA,17,1
62052,1,6,5,5,5,5,4,4,3,4,3,2,4,5,4,1,2,4,2,1,6,2,4,5,3,1,NA,17,1
62054,2,6,4,6,2,4,5,5,1,1,6,4,5,4,6,1,2,1,5,4,5,2,1,5,1,1,NA,16,1
62055,2,5,5,6,4,2,4,2,2,4,5,4,3,3,5,4,4,4,3,2,3,2,3,4,3,2,1,18,1
62056,1,4,NA,6,6,6,4,4,1,1,6,6,6,1,6,1,1,1,1,1,6,1,4,6,1,2,5,50,1
62059,1,5,6,5,5,3,3,3,4,4,1,1,5,5,5,3,4,,2,3,4,3,5,4,3,2,4,25,1
62060,2,3,2,1,4,1,2,2,1,5,1,5,2,4,5,1,5,1,2,1,4,1,2,5,1,1,5,48,1
62063,2,5,5,5,5,6,2,5,2,2,2,2,4,6,5,2,2,2,1,2,5,1,5,6,1,2,4,27,1
62064,1,6,5,6,6,4,5,4,5,6,3,4,6,5,5,5,5,6,2,NA,6,1,1,5,2,2,3,22,1
62067,5,4,4,4,5,5,4,NA,4,4,4,4,4,5,3,2,2,2,2,1,5,3,4,5,4,1,3,20,1
62070,3,4,3,3,3,3,3,3,4,6,5,5,2,2,4,6,6,6,6,3,3,4,2,4,4,2,NA,17,1
62073,1,6,6,4,6,5,5,5,1,3,3,1,6,2,NA,2,2,1,1,2,6,1,6,6,1,2,5,59,1
62075,2,4,4,1,4,5,4,4,2,2,4,5,3,3,5,4,5,1,2,3,5,1,5,6,2,2,1,17,1
62077,1,6,6,6,6,6,5,4,1,2,1,1,5,6,6,3,4,3,2,2,6,6,5,5,1,2,3,32,1
62079,2,4,4,4,3,5,1,3,2,1,1,1,3,6,5,5,6,6,1,1,4,3,5,2,3,1,3,22,1
62082,5,5,4,5,4,6,6,6,1,6,2,2,4,5,5,1,1,4,3,4,6,4,4,5,2,1,3,21,1
62084,5,3,1,2,3,6,2,2,4,5,5,4,3,4,2,1,4,4,4,2,6,2,6,5,2,1,5,29,1
62090,2,5,5,5,4,5,5,5,4,3,2,4,5,5,4,3,4,4,3,4,NA,5,3,4,3,1,1,18,1
62092,1,5,NA,5,6,6,6,1,1,1,6,1,1,5,1,1,1,1,6,1,6,6,6,1,1,2,3,40,1
62094,1,5,5,6,6,5,5,5,3,3,1,1,5,5,5,1,1,1,1,2,5,2,5,5,5,2,5,48,1
62099,1,5,6,6,4,5,3,4,3,5,2,2,3,6,4,2,2,2,2,4,5,1,5,5,3,2,4,39,1
62101,1,5,6,5,6,2,5,5,2,2,1,3,4,6,6,3,5,2,2,3,5,1,5,6,1,2,4,50,1
